"Data","Último","Abertura","Máxima","Mínima","Var%"
"16.09.2022","328,140","328,140","328,140","328,140","0,69%"
"15.09.2022","325,880","325,880","325,880","325,880","2,44%"
"14.09.2022","318,130","318,130","318,130","318,130","-7,18%"
"13.09.2022","342,740","342,740","342,740","342,740","7,74%"
"12.09.2022","318,130","318,130","318,130","318,130","-7,29%"
"09.09.2022","343,140","343,140","343,140","343,140","0,12%"
"08.09.2022","342,740","342,740","342,740","342,740","0,12%"
"07.09.2022","342,320","342,320","342,320","342,320","0,02%"
"06.09.2022","342,240","342,240","342,240","342,240","-0,15%"
"05.09.2022","342,740","342,740","342,740","342,740","0,00%"
"02.09.2022","342,740","342,740","342,740","342,740","-0,74%"
"01.09.2022","345,310","345,310","345,310","345,310","0,69%"
"31.08.2022","342,940","342,940","342,940","342,940","-0,19%"
"30.08.2022","343,600","343,600","343,600","343,600","0,47%"
"29.08.2022","341,980","341,980","341,980","341,980","2,29%"
"26.08.2022","334,310","334,310","334,310","334,310","-0,93%"
"25.08.2022","337,450","337,450","337,450","337,450","-1,33%"
"24.08.2022","342,000","342,000","342,000","342,000","-4,22%"
"23.08.2022","357,080","357,080","357,080","357,080","2,77%"
"22.08.2022","347,440","347,440","347,440","347,440","3,25%"
"19.08.2022","336,500","336,500","336,500","336,500","-0,15%"
"18.08.2022","337,020","337,020","337,020","337,020","1,73%"
"17.08.2022","331,290","331,290","331,290","331,290","1,45%"
"16.08.2022","326,560","326,560","326,560","326,560","0,82%"
"15.08.2022","323,910","323,910","323,910","323,910","-3,22%"
"12.08.2022","334,700","334,700","334,700","334,700","0,64%"
"11.08.2022","332,580","332,580","332,580","332,580","-4,86%"
"10.08.2022","349,580","349,580","349,580","349,580","1,78%"
"09.08.2022","343,460","343,460","343,460","343,460","-3,84%"
"08.08.2022","357,170","357,170","357,170","357,170","1,08%"
"05.08.2022","353,360","353,360","353,360","353,360","-1,36%"
"04.08.2022","358,250","358,250","358,250","358,250","-2,60%"
"03.08.2022","367,830","367,830","367,830","367,830","3,33%"
"02.08.2022","355,970","355,970","355,970","355,970","0,41%"
"01.08.2022","354,500","354,500","354,500","354,500","-1,22%"
"29.07.2022","358,880","358,880","358,880","358,880","-1,59%"
"28.07.2022","364,690","364,690","364,690","364,690","-3,99%"
"27.07.2022","379,830","379,830","379,830","379,830","1,96%"
"26.07.2022","372,520","372,520","372,520","372,520","-1,10%"
"25.07.2022","376,660","376,660","376,660","376,660","0,56%"
"22.07.2022","374,560","374,560","374,560","374,560","-1,43%"
"21.07.2022","380,010","380,010","380,010","380,010","-3,60%"
"20.07.2022","394,200","394,200","394,200","394,200","-3,24%"
"19.07.2022","407,400","407,400","407,400","407,400","0,84%"
"18.07.2022","404,000","404,000","404,000","404,000","-1,27%"
"15.07.2022","409,210","409,210","409,210","409,210","2,57%"
"14.07.2022","398,950","398,950","398,950","398,950","2,06%"
"13.07.2022","390,890","390,890","390,890","390,890","2,99%"
"12.07.2022","379,540","379,540","379,540","379,540","1,95%"
"11.07.2022","372,270","372,270","372,270","372,270","0,04%"
"08.07.2022","372,110","372,110","372,110","372,110","-3,69%"
"07.07.2022","386,350","386,350","386,350","386,350","1,22%"
"06.07.2022","381,690","381,690","381,690","381,690","0,14%"
"05.07.2022","381,160","381,160","381,160","381,160","1,60%"
"04.07.2022","375,160","375,160","375,160","375,160","0,16%"
"01.07.2022","374,560","374,560","374,560","374,560","-0,34%"
"30.06.2022","375,840","375,840","375,840","375,840","-1,51%"
"29.06.2022","381,600","381,600","381,600","381,600","3,91%"
"28.06.2022","367,250","367,250","367,250","367,250","0,08%"
"27.06.2022","366,950","366,950","366,950","366,950","-1,64%"
"24.06.2022","373,070","373,070","373,070","373,070","1,33%"
"23.06.2022","368,190","368,190","368,190","368,190","1,69%"
"22.06.2022","362,070","362,070","362,070","362,070","4,80%"
"21.06.2022","345,500","345,500","345,500","345,500","-0,09%"
"20.06.2022","345,800","345,800","345,800","345,800","0,14%"
"17.06.2022","345,300","345,300","345,300","345,300","0,17%"
"16.06.2022","344,700","344,700","344,700","344,700","-4,24%"
"15.06.2022","359,960","359,960","359,960","359,960","0,83%"
